token_id,resolution_quality,resolution_quality_reason,market_slug,condition_id,question,resolution_source,closed,active,row_count,matched_token_id
101106027123457230511923560603100933782439732335133293995646065340833826927163,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
101492056351751833920629364005167338435431925816936377971961169353021340085257,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
103244420345891610058187344513707955233771398669023545293767030676646407289948,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
103883506437088954379798373643258684749986129514483159127060003637507493197511,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
,unresolved_active,,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,,False,True,2,107064985435494333113391038470401719113272800530429703182710416066774068907304
109643129069070227576389393736246747645420239159664322555293451137214490685036,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
114548016853747232835723930399248065751701993585518116420876352200866213673281,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
1780702196679647062667061480586232003462305846033798567161191975266382860792,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
,unresolved_active,,will-pete-buttigieg-win-the-2028-democratic-presidential-nomination-687,0x4c325469d9b516ef4e6b8f73a81a12607dec075e3c2fd454f91765aaeafc4760,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,,False,True,2,18494065527924073750217237765784380365430319396356251245973222791140100738948
,unresolved_active,,will-bitmine-announce-holding-9m-eth-before-2027,0x75e1cd26f8df239b3d20f7733397a4c87c9cf832a3dc1b83474668921c07e63d,Will Bitmine announce that it holds more than 9M ETH before 2027?,,False,True,2,19653256042621618513359712634441094602989715483047297038180875646470350509987
21381604720372833532621682757591075796608802435814933570064101106007846357998,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
21874577331782954169360483486156393331549874340979903236532325153030627412077,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
,unresolved_active,,will-bitmine-announce-holding-9m-eth-before-2027,0x75e1cd26f8df239b3d20f7733397a4c87c9cf832a3dc1b83474668921c07e63d,Will Bitmine announce that it holds more than 9M ETH before 2027?,,False,True,2,2401142811962862070663936635856656850619624784245958295355645508255517264349
2427510173563168530654677093444917357767551989792885760649227463000109130939,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
28452285774474698354947125188608287524436611852945650886746220442735810828277,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
29221647660001052534885426446639848390010824454348882014638265430112051361512,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
31627048520492227354616069874124458767757243686332730237616510640600462926383,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
33438277790325289200920371777147487017485988523553092329465877000518451948383,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
34525377212139355785611089201709983883282104006968460811778751845444327183258,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
35596541828042021719542829843878878132042091082176384026750305027337834086811,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
36136059052713963055376455066088612405225737607621775103472565534306327538275,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
37011650970792437921328530439273985710481032638212715110420998355785945483754,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
37064221817179838225957455025143891294172126736355626367799841115771049178138,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
