sampled_at_utc,study_generated_at_utc,condition_id,token_id,question,band_eligible,pot_usd_per_day,estimated_reward_share,gross_reward_usd_per_day,competitor_score_bid,competitor_score_ask,mid_price
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xce5320bc858fcb8439fd6ca00b30487c0dab38304a52f1e72a8c7566ba0de7cb,99113614367688573136962325291183384313127226180940471563260324075093791363685,"Will CATL be removed from Chinese Military Companies list by June 30, 2027?",True,100.0,1.0,100.0,0.0,0.0,0.215
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xb8781105c2fde5235d3066f41767bae659ba1bda7c8ba30884317e5fa34fc939,90082548819150492569524559271221963673237290916671400705030054207911278665971,"Will DeepSeek be added to the Chinese Military Companies list by June 30, 2027?",True,100.0,0.00919,0.9193,673.6,183.5,0.255
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x30174f3f46398e37c96a07b45916e01eab9a8a854ecb624ac73a91a8490fd074,88752597571738831347942513760817776151125290177540731190810686943474863159303,"US announces end of Iranian blockade by September 30, 2026?",True,100.0,0.0073,0.7299,1700.0,4166.2,0.315
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x233de1da162309649fd451ca62d21b0f9f1df57ecd38aa98c5d35f70c8d1198a,94469179705280893777971597801759617328006508277714367871965066605003760218525,Will the Serbian National Assembly be dissolved by December 31?,True,50.0,0.00644,0.3222,481.9,141.0,0.8215
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x48979399e4758dc28050d771648d116431e3def3079b0459d1d7079d97a321ed,45946157012282467458848973994364993962873109621944762094077463779884962127674,Will John Healey be the first to leave the Burnham cabinet?,True,30.0,0.00818,0.2453,2190.6,758.1,0.145
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x36fba860abdbb03c88c782df08d407434ee69be069b6cbac25cffddc2f1b437a,17306927942046812963523554047158683729350184908440966752162806116949623483484,Will Iran Reconstruction Funding be in a US-Iran deal in 2026?,True,30.0,0.01317,0.3952,936.4,2326.3,0.23
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x1c38a64c494e01c9bd81362cfadeadb3b87023d1d9ffae1df5a428c03152fc74,71542982741394376771627006689338880117415417908788827680925028639627563224055,Iran-Oman Hormuz Agreement by August 31?,True,50.0,0.00439,0.2193,709.4,1247.2,0.305
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xed5a9e7831ee363d92cb102f2c21e2465b09196ef5beb7c8e23671851a1c3ca4,92467093729798172795860015164975956539777812580280382263501795773871198126752,"US x Iran diplomatic meeting by September 30, 2026?",True,200.0,0.00335,0.6703,14869.0,26052.7,0.285
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xcee04ba47d02f6c64642369b34193c355f64de1b9ae425c71ea4efef1989d271,87712920673252297509200151045391015262449055764880659907762503287643101055970,"US announces end of Iranian blockade by October 31, 2026?",True,30.0,0.0054,0.1621,3292.2,2301.2,0.505
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x46ca741da4abd7ffa993f59ac65bfe83de43ae027accac71d263a493e44064e7,86011229287950365043519117852041614651767455889324682112682327985496937935368,"US announces end of Iranian blockade by December 31, 2026?",True,100.0,0.00606,0.6056,12461.8,8206.1,0.7245
