question,market_id,condition_id,market_slug,event_slug,market_url,token_id,complement_token_id,outcome,complement_outcome,end_date_utc,event_start_time_utc,uma_resolution_status,order_price_min_tick_size,neg_risk,fee_type,fees_enabled,volume_24h_usd,pot_usd_per_day,pot_rank,yield_rank,expected_gross_at_min_size,rewards_min_size_shares,rewards_max_spread_cents,mid_price,best_bid,best_ask,quote_bid_price,quote_ask_price,quote_distance,quote_distance_fraction,competitor_score_bid,competitor_score_ask,our_score_per_side,share_model,share_model_legacy,band_eligible,estimated_reward_share,gross_reward_usd_per_day,history_points,pickoff_events_per_day,adverse_usd_per_day_1min_24h,adverse_usd_per_day_10min_7d,adverse_usd_per_day_markout,band_crossing_prints_per_day,markout_measured,adverse_selection_usd_per_day,supplementary_rebate_usd_per_day,supplementary_holding_usd_per_day,supplementary_income_usd_per_day,resolution_risk,resolution_risk_class,resolution_risk_reason,resolution_risk_sample_markets,resolution_risk_clean_share,net_carry_usd_per_day,capital_usd,estimate_quality,book_history_hours,book_snapshot_count
US ceasefire against Iran continues through September 30?,3700196,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,us-x-iran-ceasefire-continues-through-september-30,us-ceasefire-against-iran-continues-throughptptpt,https://polymarket.com/event/us-ceasefire-against-iran-continues-throughptptpt,100634343526080296675519866299852321904923227713546778501901177732799107316096,12768687634624007055600005734015568712602941457279560333381899746904735873436,Yes,No,2026-09-30,,,0.01,False,,False,101515.65,1000.0,2,1,9.2367,200.0,4.5,0.645,0.64,0.65,0.61,0.68,0.0338,0.75,11822.7,16333.7,12.5,published_v2,0.00211,True,0.00106,1.0562,1438,0.0,0.0,72.9767,0.0,0.0,True,72.9767,0.0,0.028274,0.028274,high,subjective_ceasefire,subjective/dispute-prone wording contains 'ceasefire',0,,-71.9205,258.0,book_and_history,31.1861,101
"US announces end of Iranian blockade by September 30, 2026?",3128887,0x30174f3f46398e37c96a07b45916e01eab9a8a854ecb624ac73a91a8490fd074,us-announces-end-of-iranian-blockade-by-september-30-2026-20260727171615364-722-649-646-561-213-644-414-831,us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,https://polymarket.com/event/us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,88752597571738831347942513760817776151125290177540731190810686943474863159303,56465933220082022835700817063946174635909725507734416248556389304448520396318,Yes,No,2026-09-30,,,0.01,False,,False,94391.74,300.0,10,2,4.828,200.0,4.5,0.285,0.28,0.29,0.25,0.32,0.0338,0.75,12781.6,6996.1,12.5,published_v2,0.00356,True,0.00178,0.5351,1439,0.0,0.0,1.3227,0.0,0.37,True,1.3227,0.0,0.012493,0.012493,high,subjective_blockade,subjective/dispute-prone wording contains 'blockade',0,,-0.7876,114.0,book_and_history,343.0797,1118
US ceasefire against Iran continues through September 15?,3700195,0x9b94d7e2e7250d156b02435f4d59634d357dc789d842eaee15c35c1158d5bca4,us-x-iran-ceasefire-continues-through-september-15,us-ceasefire-against-iran-continues-throughptptpt,https://polymarket.com/event/us-ceasefire-against-iran-continues-throughptptpt,81141181734308200688529988294612116916451750660627985997279610187281303006599,7533480355184841194613842698642819312153724961726601723274736270635530195424,Yes,No,2026-09-15,,,0.01,False,,False,58359.24,500.0,5,3,4.4568,200.0,4.5,0.74,0.73,0.75,0.7,0.78,0.0338,0.75,12508.5,25741.0,12.5,published_v2,0.00199,True,0.001,0.4992,1439,1.0,1.2517,31.3774,0.0,0.0,True,31.3774,0.0,0.032438,0.032438,high,subjective_ceasefire,subjective/dispute-prone wording contains 'ceasefire',0,,-30.8782,296.0,book_and_history,31.1861,102
"Skin cancer vaccine FDA approved by December 31, 2027?",3725541,0x0b44e9c6eb563adf459816f9a7a2de0aa66ba5423c474ecab30c97203a3e8207,skin-cancer-vaccine-fda-approved-by-december-31-2027,skin-cancer-vaccine-fda-approved-by-december-31-2027,https://polymarket.com/event/skin-cancer-vaccine-fda-approved-by-december-31-2027,59571367085964167120362569604430876382217425288722535684104776401279160424325,108106631235974987801820798416657587426398379451395604120727082914451082463656,Yes,No,2027-12-31,,,0.01,False,tech_fees,True,24746.35,200.0,18,4,3.9226,200.0,4.5,0.725,0.72,0.73,0.69,0.76,0.0338,0.75,15532.5,5623.6,12.5,published_v2,0.00443,True,0.00222,0.4436,1003,27.31,275.5689,219.6,0.2751,8.2,True,275.5689,0.147286,0.031781,0.179067,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-275.1253,290.0,book_and_history,6.8956,23
"US announces end of Iranian blockade by September 21, 2026?",3702045,0x71dd44fa5059fbed28a279172185d3623aa34ce86be1936281df26b5d1b87200,us-announces-end-of-iranian-blockade-by-september-21-2026,us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,https://polymarket.com/event/us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,94770042529883309392255966715551132169012522769091385480819155582901630638873,99862408480091690818712580390739372269388074326995957034508591909408581976106,Yes,No,2026-09-21,,,0.01,False,,False,20968.86,200.0,19,5,3.5941,200.0,4.5,0.2,0.19,0.21,0.16,0.24,0.0338,0.75,6146.4,9516.8,12.5,published_v2,0.00405,True,0.00203,0.4059,1438,0.0,0.0,3.0361,0.0,0.0,True,3.0361,0.0,0.008767,0.008767,high,subjective_blockade,subjective/dispute-prone wording contains 'blockade',0,,-2.6302,80.0,book_and_history,7.3292,25
Theo James announced as next James Bond?,2293864,0x2d215dfc6dc0e7be3bf0bc077adc3ab5dc562cdfe455bfff02a6723f1c98cf48,theo-james-announced-as-next-james-bond-893,next-james-bond-actor-398,https://polymarket.com/event/next-james-bond-actor-398,95033970965067298364754489734745587181272303107799386420668793859825751365027,42771948705306874094257657668331335625499955670228570484545779281897981879648,Yes,No,2026-12-31,,,0.001,True,culture_fees,True,8890.42,27.0,77,6,2.7419,50.0,4.5,0.0635,0.05,0.077,0.029,0.098,0.0338,0.75,413.5,248.8,3.1,published_v2,0.0245,False,0.0124,0.3349,1439,8.01,8.5369,1.0242,0.0008,0.02,True,8.5369,6.2e-05,0.000696,0.000758,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-8.202,6.35,band_ineligible,0.0,0
Extended FDV above $300M one day after launch?,904737,0xcc59c2569d30b4b86993f3ff17bb900fffc56e7d98f1a5b02793fc9c133db99a,extended-fdv-above-300m-one-day-after-launch-351-333,extended-fdv-above-one-day-after-launch,https://polymarket.com/event/extended-fdv-above-one-day-after-launch,30168634295384984099987626703440157654602987915064535215384295190163901851184,7331524226715372344246571285800167833640643080436335461689965049717889378938,Yes,No,2027-01-01,,,0.01,False,crypto_fees_v2,True,81728.07,50.0,50,7,2.511,100.0,4.5,0.345,0.34,0.35,0.31,0.38,0.0338,0.75,1063.8,2501.8,6.2,published_v2,0.01161,True,0.00584,0.292,1439,2.0,2.7538,0.3575,0.0001,0.06,True,2.7538,0.000519,0.007562,0.008081,low,numeric_close_above_below,objective numeric close above/below wording,0,,-2.4618,69.0,book_and_history,250.175,161
"Will Elon Musk post 220-239 tweets from August 14 to August 21, 2026?",3506015,0x8d8cfacfd90c29ddad706b5581527c5a052b6de324c0d0d4b95f3a388a0f3159,elon-musk-of-tweets-august-14-august-21-220-239,elon-musk-of-tweets-august-14-august-21,https://polymarket.com/event/elon-musk-of-tweets-august-14-august-21,114404573799965005909576698727974057763171634253286736673812398472950967327249,92292135930962130034471963758131488088218802514245996097757279210047510128411,Yes,No,2026-08-21,2026-08-14 16:00:00+00,,0.001,True,culture_fees,True,121879.87,46.0,58,8,2.1323,50.0,5.5,0.4065,0.406,0.407,0.379,0.434,0.0275,0.5,1369.9,466.6,12.5,published_v2,0.05085,True,0.02609,1.2001,1439,2.0,0.4757,1.1165,0.1009,16.88,True,1.1165,0.08727,0.004455,0.091725,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,0.0836,40.65,book_and_history,7.3292,25
Russia Elections: United Russia Wins Every Region?,3399197,0x2f112a1cd954debe3438caac411ca4395cc53be0e1580a5802ab42618b94aff7,russia-elections-united-russia-wins-every-region,russia-elections-united-russia-wins-every-region,https://polymarket.com/event/russia-elections-united-russia-wins-every-region,34349914026097401057128861099057880661380967396881948920123251373255308524355,71234862251672757371948659116461055704827525552888146795032051912250820474179,Yes,No,2026-09-20,,,0.01,False,politics_fees,True,76695.3,50.0,51,9,1.9074,100.0,4.5,0.665,0.66,0.67,0.63,0.7,0.0338,0.75,1584.5,1418.3,6.2,published_v2,0.00874,True,0.00439,0.2194,1439,2.0,11.7663,1.3227,0.0,0.0,True,11.7663,0.0,0.014575,0.014575,low,official_election_result,objective election result wording,0,,-11.5469,133.0,book_and_history,0.0,0
Will WTI Crude Oil (WTI) hit (HIGH) $90 in August?,3096413,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,will-wti-reach-90-in-august-2026,what-price-will-wti-hit-in-august-2026,https://polymarket.com/event/what-price-will-wti-hit-in-august-2026,12271201066702671192512366723059850977877323787698905069269847136574521131200,72231169683952703551810915209813949516292895904463184163961468355174735034878,Yes,No,2026-09-01,2026-07-25T04:02:24.716Z,,0.01,False,finance_prices_fees,True,91622.16,100.0,33,10,1.8818,100.0,4.5,0.615,0.61,0.62,0.58,0.65,0.0338,0.75,53.8,2940.8,2.1,published_v2,0.18846,True,0.00212,0.2121,1439,5.01,4.6314,2.8421,0.0984,3.75,True,4.6314,0.457935,0.013479,0.471414,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-4.4193,123.0,book_and_history,322.8692,869
